poste,entreprise,lieu,salary_min,salary_max,currency,description,source,pays
Business Developer Chargé de Développement Commercial H/F,IPC,"Cantal, Auvergne-Rhône-Alpes",30000,100000,,"I.P.C. signifie Innovation Protection Conseil, nous commercialisons depuis plus de 30 ans des produits d'hygiène et de maintenance auprès d'une clientèle de professionnels en France, au Benelux et en Espagne. Nous proposons à nos clients des solutions innovantes et respectueuses de l'environnement, formulées à base de biotechnologies, pour répondre à leurs problématiques d'hygiène et de maintenance. Ce que vous trouverez chez IPC ? - Des produits haut de gamme, innovations brevetées et des form…",adzuna_api,fr
Business Developer Chargé de Développement Commercial H/F,Salesfactory,"Suresnes, Nanterre",2200,2200,,"Voulez-vous rejoindre une équipe passionnée et en constante évolution au sein de Salesfactory interim ? Nous recherchons un.e business developper à partir de septembre pour un CDD de 4 mois, reconductible en CDI pour un 35h/semaine Votre rôle sera crucial pour élargir notre réseau et contribuer à l'atteinte de nos objectifs ambitieux ! Vos missions incluront notamment : - Participer activement à la prospection téléphonique et générer de nouvelles opportunités d'affaires. - Prendre des rendez-vo…",adzuna_api,fr
Business Developer Chargé de Développement Commercial H/F,YOQO,"Côte-d'Or, Bourgogne-Franche-Comté",28000,40000,,"BUSINESS DEVELOPER (H/F) - SOLUTIONS DIGITALES & PERFORMANCE CLIENT Rejoignez YOQO et digitalisez les entreprises avec des solutions scalables et taillées pour la productivité ! YOQO, basée à Dijon, accompagne les entreprises dans leur transition numérique avec des outils pensés pour la performance : Sites web premium (vitrine & e-commerce) CRM & ERP sur mesure pour piloter et automatiser leur activité SEO & SEA pour booster leur visibilité et leur acquisition client L'IA embarquée optimise cha…",adzuna_api,fr
Business Developer Chargé de Développement Commercial H/F,Groupe Comptoir,"Morbihan, Bretagne",2800,3100,,"Dans le cadre d'un remplacement suite à départ à la retraite, nous sommes à la recherche d'un business developer pour le département 56. Ce que nous pouvons accomplir ensemble ? Après une période d'intégration et de formation à notre siège social de Pacé (35) pendant laquelle vous vous familiarisez avec nos produits et nos méthodes, vous développez et fidélisez une clientèle de professionnels des secteurs collectivités et HORECA restauration commerciale sur le Morbihan. Vos missions principales…",adzuna_api,fr
Business Developer Chargé de Développement Commercial H/F,FormaLogistics,"Tremblay-en-France, Le Raincy",2300,2600,,"À la recherche de nouveaux talents pour rejoindre l'aventure FormaLogistics ! FormaLogistics, marque de CAB Formations depuis 2015, s'impose comme un acteur majeur de la formation règlementaire et obligatoire dans les domaines du transport, de la logistique et de la sécurité. Nous sommes à la recherche de notre futur Business Developer H/F pour notre site de Tremblay-en-France (93) en CDI. Missions principales : - Gérer le cycle de vente de A à Z en autonomie ; - Prospecter de nouveaux clients …",adzuna_api,fr
Lead Developper H/F,Fill Up Média,"Rhône, Auvergne-Rhône-Alpes",50000,60000,,"En tant que Lead Developer chez Fill Up Média, tu es rattaché au Directeur Technique. Ton rôle est de prendre en charge l'architecture technique, le développement et l'amélioration continue de notre ERP développé sur une plateforme NoCode/Code en binôme avec notre Product Builder. Tu auras pour missions principales : - Concevoir, développer, structurer, tester, corriger et livrer un code de haute qualité, conformément à la demande. - Réaliser les tests dans un scénario complet. - Maintenir l'ex…",adzuna_api,fr
Lead Developer H/F,DESCOURS & CABAUD,"Rhône, Auvergne-Rhône-Alpes",55000,60000,,"Construisons l'avenir en commençant par le vôtre ! SOGEDESCA, siège du Groupe DESCOURS & CABAUD recherche un/une Lead Developer (F/H) - CDI - Lyon (69) La Digital Factory du Groupe Descours & Cabaud participe au développement des plateformes e-commerce B2B afin de répondre aux enjeux business des enseignes de l'entreprise. Ces projets ambitieux sont menés par l'ensemble de l'équipe, composée de toutes les expertises produit et technique nécessaires à une plateforme e-commerce en forte croissanc…",adzuna_api,fr
Business Developer H/F,GE Log,"Indre-et-Loire, Centre",2500,2900,,"Nous recherchons un développeur d'affaires (H/F) pour renforcer notre équipe. En tant que Business Developer (H/F), vous serez responsable de développer et d'entretenir des relations commerciales fructueuses pour le GE LOG sur le perimetre du Grand Ouest Vous travaillerez en étroite collaboration avec les 3 Responsables de groupement pour stimuler la croissance et maximiser les opportunités commerciales dans le secteur de la logistique. · Gestion et développement d'un portefeuille d'adhérents e…",adzuna_api,fr
Business Developper H/F,ADREC,"Chamalières, Clermont-Ferrand",28000,32000,,"Missions - Prospecter de nouveaux clients, de nouveaux marchés (téléphone/mail/linkedin) - Concevoir et gérer un projet - Conseiller vos clients dans la transformation de leurs offres de formation, - Définir des objectifs avec le client et les ressources nécessaires pour les atteindre, - Définir un rétro-planning, - Développer et fidéliser la relation client, Identifier les leaders chez les clients, - Développer et partager des bonnes pratiques métiers avec l'ensemble de l'équipe de développeur…",adzuna_api,fr
Business Developer H/F,Collège de Paris,"Aubervilliers, Saint-Denis",2000,2000,,"Depuis sa fondation en 2011, Collège de Paris s'est donné pour mission de rendre l'excellence accessible à tous, grâce à une communauté d'écoles. Aujourd'hui, Collège de Paris c'est plus de 70 écoles membres, 14 000 apprenants en France, 30 000 stagiaires en formation continue, formateurs. L'une de nos écoles, Ascencia Business School EVRY recherche un.e Business Developer en CDI. Les missions : - Développer et mettre en place des dispositifs et des actions de formation - Conseiller et assister…",adzuna_api,fr
