poste,lieu,entreprise,salaire,note,description
Monteur Câbleur,Bagnères,GROUPE CAHORS POMMIER,2 k € (fourni par l’employeur),"3,3","Préparer son environnement de travail et le maintenir propre et organisé. Des connaissances en électricité serait un plus.&hellip;
Compétences: Microsoft Excel, SAS, Électricité, Production, Câblage réseau"
Enseignant (e) d'Agronomie,Les Ponts-de-Cé,CAMPUS DE POUILLE,2 k € - 3 k € (fourni par l’employeur),Non noté,"Avez une expérience antérieure dans l'enseignement, idéalement dans un cadre similaire. Êtes passionné(e) par l'éducation et motivé(e) à faire progresser vos…&hellip;
Compétences: Recherche, Expérience en classe, Formation et développement, Compétences en communication, Enseignement"
Planificateur / Planificatrice de Rendez-vous,Tournan,ETUDE HABITAT,2 k € (fourni par l’employeur),Non noté,"Planifier et confirmer les rendez-vous dans l’agenda de l’entreprise. Vous serez au cœur de notre service client, en assurant une communication efficace avec…&hellip;
Compétences: Centre d'appels, Systèmes PGI, Gestion de la production, Bureautique, Production"
Monteur en génie climatique,Montluçon,SARL BARRERE,28 k € - 32 k € (fourni par l’employeur),Non noté,"Le technicien d'études en génie climatique prend part à l’élaboration des études techniques de chauffage, de production d’eau chaude sanitaire, de ventilation/…&hellip;
Compétences: Expérience en mécanique, Service client, Électricité, Maintenance industrielle, Chauffage, ventilation et climatisation"
Commercial débutant H/F,Bayonne,RP France,2 k € - 4 k € (fourni par l’employeur),"4,6","Un suivi et un accompagnement sur le terrain. Découvrez à quoi ressemble une journée type de nos commerciaux en cliquant sur le lien suivant : *https://…&hellip;
Compétences: Vente, Prospection"
Hôte(sse) de caisse polyvalent H/F,Saint-Alban-Leysse,Alpes bureau,2 k € (fourni par l’employeur),Non noté,"Réception et mise en rayon des marchandises. Un profil souriant(e),agréable, motivé(e), ordonné(e) et multitâches et souhaité.&hellip;
Compétences: Vente, Service client, Encaissement, Manipulation d'espèces, Vente au détail"
Pédicure-Podologue Tbien ;),Coubert,Maison sante bien être,4 k € - 7 k € (fourni par l’employeur),Non noté,"Rejoignez la Maison de Santé Bien-Être, *adossée à l’EHPAD La Mélod’hier*, un lieu innovant et ouvert sur la ville, porté par une vision humaine et intégrative…&hellip;
Compétences: Soins aux patients"
Tireur/filtreur laboratoire photo H/F,Vergt,Photographie François Barreto,2 k € (fourni par l’employeur),Non noté,"24380 Vergt: Faire le trajet sans problème ou prévoir un déménagement avant de prendre son poste (Optionnel). Type d'emploi : Temps plein, CDI.&hellip;
Compétences: Adobe Photoshop, Expérience en laboratoire, Contrôle qualité"
Analyste DSIS,Créteil,Valeo,Non renseigné,"3,9","Il/elle sera responsable de la vision dans son domaine ( CFD ), de la définition, de l’évaluation et de l’harmonisation des solutions avec les disciplines de…&hellip;
Compétences: Scripting, Python"
CHARGE D'ETUDE BTP DEMOLITION DESAMIANTAGE,La Talaudière,AD ARNAUD DEMOLITION,27 k € - 40 k € (fourni par l’employeur),Non noté,"Présenter l’étude au Directeur Technique pour validation . Type d'emploi : Temps plein.&hellip;
Compétences: AutoCAD, Revit, ArchiCad"
Yacht Club and Marina Marketing Manager,France,Monaco Marina Management,8 k € (fourni par l’employeur),Non noté,"Excellent communication and interpersonal skills. Develop and execute digital marketing campaigns, including website optimization, content creation, social…&hellip;
Compétences: Service client, Arabe, Anglais"
Conseiller commercial à distance : Vente par transferts en appels entrants H/F,Toulouse,HomeFriend,25 k € - 27 k € (fourni par l’employeur),"2,5","Tickets restaurant (9,20€/ticket) 60% pris en charge par l'entreprise. Nos locaux sont situés au 12 rue Louis Courtois de Viçose, Bâtiment 5, 31100 TOULOUSE.&hellip;
Compétences: Français, Vente"
Job étudiant au stade Allianz Riviera x Topivo - missions événementielles à venir !,Nice,TOPIVO RESTAURATION,"11,88 € Par heure (fourni par l’employeur)",Non noté,"Rejoignez-nous sans entretien ni prérequis !*. ✅ Inscription 100 % facile, sans entretien ni expérience requise.&hellip;
Compétences: Expérience en gestion d'équipe, Service client, Sens de l'organisation, Services aux visiteurs"
