author,name,description,language,stars,stars_period,url
NanmiCoder,MediaCrawler,小红书笔记 | 评论爬虫、抖音视频 | 评论爬虫、快手视频 | 评论爬虫、B 站视频 ｜ 评论爬虫、微博帖子 ｜ 评论爬虫、百度贴吧帖子 ｜ 百度贴吧评论回复爬虫 | 知乎问答文章｜评论爬虫,Python,26100,769,https://github.com/NanmiCoder/MediaCrawler
Genesis-Embodied-AI,Genesis,A generative world for general-purpose robotics & embodied AI learning.,Python,25611,131,https://github.com/Genesis-Embodied-AI/Genesis
LadybirdBrowser,ladybird,Truly independent web browser,C++,44629,299,https://github.com/LadybirdBrowser/ladybird
swagger-api,swagger-ui,"Swagger UI is a collection of HTML, JavaScript, and CSS assets that dynamically generate beautiful documentation from a Swagger-compliant API.",JavaScript,27755,163,https://github.com/swagger-api/swagger-ui
HumanSignal,label-studio,Label Studio is a multi-type data labeling and annotation tool with standardized output format,JavaScript,22874,28,https://github.com/HumanSignal/label-studio
toeverything,AFFiNE,"There can be more than Notion and Miro. AFFiNE(pronounced [ə‘fain]) is a next-gen knowledge base that brings planning, sorting and creating all together. Privacy first, open-source, customizable and ready to use.",TypeScript,52462,145,https://github.com/toeverything/AFFiNE
juspay,hyperswitch,"An open source payments switch written in Rust to make payments fast, reliable and affordable",Rust,21401,6,https://github.com/juspay/hyperswitch
datawhalechina,happy-llm,📚 从零开始的大语言模型原理与实践教程,,7669,973,https://github.com/datawhalechina/happy-llm
MotiaDev,motia,"Unified Backend Framework for APIs, Events, and AI Agents",TypeScript,3281,313,https://github.com/MotiaDev/motia
drawdb-io,drawdb,"Free, simple, and intuitive online database diagram editor and SQL generator.",JavaScript,31214,299,https://github.com/drawdb-io/drawdb
argoproj,argo-rollouts,Progressive Delivery for Kubernetes,Go,3090,4,https://github.com/argoproj/argo-rollouts
dockur,macos,macOS inside a Docker container.,Shell,12312,228,https://github.com/dockur/macos
onlook-dev,onlook,"The Cursor for Designers • An Open-Source Visual Vibecoding Editor • Visually build, style, and edit your React App with AI",TypeScript,20264,194,https://github.com/onlook-dev/onlook
iib0011,omni-tools,"Self-hosted collection of powerful web-based tools for everyday tasks. No ads, no tracking, just fast, accessible utilities right from your browser!",TypeScript,4083,83,https://github.com/iib0011/omni-tools
btjawa,BiliTools,A cross-platform bilibili toolbox. 跨平台哔哩哔哩工具箱，支持下载视频、番剧等等各类资源,TypeScript,1892,245,https://github.com/btjawa/BiliTools
Infisical,infisical,"Infisical is the open-source platform for secrets management, PKI, and SSH access.",TypeScript,18359,63,https://github.com/Infisical/infisical
trekhleb,javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,JavaScript,191725,46,https://github.com/trekhleb/javascript-algorithms
