date,position,company,location,contract,salary
2025-07-04T15:24:51.539765,Data Analyst - (H/F) - En alternance,OpenClassrooms,Saint-Denis (93),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
2025-07-04T15:24:51.540237,Data Analyst - (H/F) - En alternance,OpenClassrooms,Boulogne-Billancourt (92),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
2025-07-04T15:24:51.540488,Data Analyst - (H/F) - En alternance,OpenClassrooms,Paris (75),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
2025-07-04T15:24:51.540747,Data Engineer confirmé(e) Services Financiers Lille,Groupe Talents Handicap,Nord (59),CDI,N/A
2025-07-04T15:24:51.540994,Data Engineer confirmé Databricks F/H,Groupe Talents Handicap,Paris (75),CDI,N/A
2025-07-04T15:24:51.541238,Data Analyst - (H/F) - En alternance,OpenClassrooms,Paris (75),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
2025-07-04T15:24:51.541549,Data Analyst - (H/F) - En alternance,OpenClassrooms,Clichy (92),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
2025-07-04T15:24:51.541822,Data Engineer - (H/F) - En alternance,OpenClassrooms,Bouguenais (44),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
2025-07-04T15:24:51.542113,Data Analyst - (H/F) - En alternance,OpenClassrooms,Levallois-Perret (92),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
2025-07-04T15:24:51.542389,Data Analyst - (H/F) - En alternance,OpenClassrooms,Boulogne-Billancourt (92),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
2025-07-04T15:24:51.542660,Data Analyst - (H/F) - En alternance,OpenClassrooms,Saint-Denis (93),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
2025-07-04T15:24:51.542923,Data Analyst - (H/F) - En alternance,OpenClassrooms,Paris (75),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
2025-07-04T15:24:51.543193,Data Analyst - (H/F) - En alternance,OpenClassrooms,Saint-Denis (93),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
2025-07-04T15:24:51.543483,Opérateur d'atelier - Data center,TEMPORIS,Ville-la-Grand (74),Intérim,N/A
2025-07-04T15:24:51.543729,"Data Center Security Manager, DC Security",Groupe Talents Handicap,Paris (75),CDI,N/A
2025-07-04T15:24:51.543973,"Data Center Security Manager, DC Security",Groupe Talents Handicap,Paris (75),CDI,N/A
2025-07-04T15:24:51.544212,Alternance - Data Scientist (H/F),Groupe Talents Handicap,Paris (75),Alternance / Apprentissage,N/A
2025-07-04T15:24:51.544453,Data Analyst - (H/F) - En alternance,OpenClassrooms,Boulogne-Billancourt (92),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
2025-07-04T15:24:51.544701,Consultant DATA / Gouvernance des données DCoE - France,Groupe Talents Handicap,Bouches-du-Rhône (13),CDI,N/A
2025-07-04T15:24:51.544992,Data Engineer - Services Publics - Ile de France,Groupe Talents Handicap,Hauts-de-Seine (92),CDI,N/A
2025-07-04T15:24:51.772567,EXPERT DATA - H/F,E.Leclerc,Le Luc (83),CDI,N/A
2025-07-04T15:24:51.772816,Data Engineer H/F,Groupe Talents Handicap,Hérault (34),CDI,N/A
